Accepted Name,,ID GUIDE,Previous name
Alcyonium siderium,,1,
Anomia simplex,,1,spp
Aplidium glabrum,,1,
Balanus balanus,,1,
Boltenia echinata,,1,
Boltenia ovifera,,1,
Botrylloides violaceus,,1,
Botryllus schlosseri,,1,
Clathria prolifera,,1,Microciona
Clathromorphum circumscriptum,,1,
Cliona celata,,1,
Dendrodoa carnea,,1,
Didemnum albidum,,1,
Didemnum vexillum,,1,
Diplosoma listerianum,,1,
Edwardsiella lineata,,1,
Gersemia rubiformis,,1,
Halichondria panicea,,1,
Haliclona oculata,,1,
Halisarca nahantensis,,1,spp
Halocynthia pyriformis,,1,
Hymedesmia paupertas,,1,sp
Isodictya palmata,,1,
Leucosolenia botryoides,,1,sp
Lithothamnion glaciale,,1,spp
Metridium senile,,1,
Modiolus modiolus,,1,
Molgula citrina,,1,
Molgula manhattensis,,1,
Mytilus edulis,,1,
Peyssonnelia rosenvingei,,1,spp
Phymatolithon rugulosum,,1,
Sycon ciliatum,,1,Scypha
Spirorbis borealis,,1,sp
Styela clava,,1,
Tubularia crocea,,1,spp